                  Mw: 6.9
              Stress: 600
  Average |residual|: 0.00000
GMPE Table for best-fit with SIMSIM simulations
------------------------
            R          PGA        0.2Hz       0.33Hz        0.5Hz          1Hz          2Hz       3.33Hz       4.96Hz         10Hz         20Hz
          0.1  3.85200e+05  1.89100e+04  4.73800e+04  9.19200e+04  1.93500e+05  3.51400e+05  5.00800e+05  7.26800e+05  9.15900e+05  8.66900e+05
         0.13  2.86600e+05  1.39800e+04  3.58400e+04  6.74300e+04  1.46400e+05  2.56900e+05  3.72100e+05  5.32900e+05  6.69700e+05  6.52200e+05
         0.16  2.20600e+05  1.05100e+04  2.68400e+04  5.12500e+04  1.12000e+05  1.89900e+05  2.83000e+05  3.83100e+05  5.00800e+05  4.84000e+05
          0.2  1.66800e+05  7.67200e+03  2.05500e+04  3.85500e+04  8.49800e+04  1.45500e+05  2.20400e+05  2.96000e+05  3.76800e+05  3.54600e+05
         0.25  1.20200e+05  5.93500e+03  1.55700e+04  2.82300e+04  6.46600e+04  1.09200e+05  1.64200e+05  2.20300e+05  2.80900e+05  2.54400e+05
         0.32  9.11300e+04  4.06000e+03  1.02200e+04  2.01200e+04  4.64500e+04  8.68800e+04  1.29000e+05  1.57600e+05  2.05200e+05  1.87100e+05
          0.4  6.54200e+04  3.00200e+03  7.26900e+03  1.38900e+04  3.49800e+04  6.59100e+04  9.06000e+04  1.14600e+05  1.51200e+05  1.32300e+05
          0.5  4.98500e+04  2.36000e+03  5.79700e+03  1.16400e+04  2.50900e+04  4.70600e+04  6.92800e+04  8.64500e+04  1.06800e+05  1.03000e+05
         0.63  3.94300e+04  1.65500e+03  4.23900e+03  8.65000e+03  1.91400e+04  3.41500e+04  5.49700e+04  6.82200e+04  8.39400e+04  7.64000e+04
         0.79  2.70600e+04  1.19400e+03  3.05800e+03  6.21500e+03  1.42100e+04  2.68500e+04  3.79700e+04  4.80200e+04  6.74400e+04  5.45200e+04
            1  1.93800e+04  8.73500e+02  2.32800e+03  4.87400e+03  1.01000e+04  1.77500e+04  2.83300e+04  3.53200e+04  4.44300e+04  4.13900e+04
         1.26  1.47000e+04  6.87900e+02  1.67700e+03  3.14700e+03  8.08000e+03  1.35400e+04  1.99800e+04  2.60500e+04  3.04200e+04  2.94400e+04
         1.58  1.03900e+04  5.66800e+02  1.42100e+03  2.79300e+03  5.68800e+03  9.62000e+03  1.60700e+04  1.81300e+04  2.63600e+04  2.28400e+04
            2  7.48900e+03  4.19400e+02  1.05400e+03  2.03700e+03  4.66200e+03  7.21300e+03  1.11200e+04  1.40100e+04  1.80300e+04  1.56000e+04
         2.51  5.38800e+03  2.63400e+02  7.29700e+02  1.44100e+03  3.21100e+03  5.36800e+03  7.65100e+03  9.76300e+03  1.24400e+04  1.12800e+04
         3.16  4.06000e+03  2.06200e+02  5.63600e+02  1.09300e+03  2.03200e+03  4.14200e+03  6.40500e+03  7.66400e+03  8.53400e+03  8.25200e+03
         3.98  2.77600e+03  1.55600e+02  4.16100e+02  7.62300e+02  1.74400e+03  3.05500e+03  3.73300e+03  4.92000e+03  6.40900e+03  5.83100e+03
         5.01  1.98400e+03  1.11100e+02  3.17000e+02  5.99200e+02  1.26600e+03  2.08500e+03  2.93500e+03  3.65500e+03  4.85400e+03  4.31600e+03
         6.31  1.34700e+03  8.65200e+01  2.01700e+02  4.30100e+02  9.56500e+02  1.63200e+03  2.24000e+03  2.65600e+03  3.21400e+03  2.88000e+03
         7.94  1.01800e+03  5.35200e+01  1.59000e+02  2.95900e+02  7.19200e+02  1.14400e+03  1.62500e+03  1.85300e+03  2.47500e+03  1.99500e+03
           10  7.29800e+02  5.19600e+01  1.42000e+02  2.39400e+02  4.83100e+02  8.14300e+02  1.13600e+03  1.43700e+03  1.63400e+03  1.45300e+03
        12.59  5.26900e+02  3.57800e+01  1.00800e+02  1.72700e+02  3.62900e+02  6.23400e+02  8.74000e+02  1.05400e+03  1.10900e+03  1.08400e+03
        15.85  3.58200e+02  2.58600e+01  6.76900e+01  1.23100e+02  2.68000e+02  3.85800e+02  6.22000e+02  7.48100e+02  8.40100e+02  7.38300e+02
        19.95  2.48900e+02  1.95300e+01  5.05500e+01  8.70800e+01  1.93700e+02  3.12300e+02  3.92500e+02  4.81700e+02  5.74100e+02  4.89100e+02
        25.12  1.76900e+02  1.48500e+01  4.29700e+01  7.25300e+01  1.30900e+02  2.28300e+02  2.85000e+02  3.70400e+02  4.16500e+02  3.48000e+02
        31.62  1.22100e+02  1.09900e+01  2.72800e+01  5.51200e+01  9.99900e+01  1.55000e+02  2.13500e+02  2.52300e+02  2.64000e+02  2.22500e+02
        39.81  8.11500e+01  8.27200e+00  1.93600e+01  3.60300e+01  6.81700e+01  1.01000e+02  1.42000e+02  1.68100e+02  1.85800e+02  1.52900e+02
        50.12  5.83500e+01  5.45200e+00  1.34400e+01  2.37900e+01  5.30600e+01  7.92000e+01  1.07700e+02  1.22700e+02  1.27900e+02  1.05700e+02
         63.1  4.62400e+01  4.80500e+00  1.13300e+01  2.12100e+01  3.76400e+01  6.45500e+01  8.33200e+01  9.55900e+01  1.03700e+02  8.40700e+01
        79.43  3.57400e+01  4.40300e+00  1.05500e+01  1.99000e+01  3.71500e+01  4.97300e+01  6.93400e+01  7.88100e+01  8.14300e+01  6.18500e+01
          100  3.06400e+01  3.98400e+00  9.40500e+00  1.65600e+01  3.12500e+01  4.49400e+01  5.97400e+01  6.49500e+01  6.53200e+01  5.07200e+01
       125.89  2.30700e+01  3.71500e+00  8.19700e+00  1.37300e+01  2.69900e+01  3.90000e+01  4.84600e+01  5.43200e+01  4.88300e+01  3.82000e+01
       158.49  1.62700e+01  2.99000e+00  6.55300e+00  1.12400e+01  2.06000e+01  3.05500e+01  3.46300e+01  3.76700e+01  3.44200e+01  2.33900e+01
       199.53  1.13900e+01  2.33100e+00  5.03300e+00  8.37800e+00  1.44600e+01  2.13500e+01  2.53700e+01  2.58900e+01  2.15400e+01  1.58900e+01
